trade_date,rank_ic,top_return,top_excess,turnover,auxiliary_floor_top_bottom_spread
20230103,-0.067464123296027051,0.0042755596340191002,-0.00036274491528350602,,-0.0010443503085939779
20230104,-0.02513275150848546,0.0024486091653575684,-0.0030733685540443837,0.22222222222222221,-0.001131311972902972
20230105,-0.13196881575966318,-0.011228131684861493,-0.0087883475010806199,0.17131474103585653,-0.0087899727449632127
20230106,-0.00038516636028460921,0.0051139125962815796,-0.00072080028093868438,0.18343195266272194,0.0026870190352763037
20230109,0.12497672013192763,0.0024999363224147016,0.0046388203513676998,0.23224568138195778,0.0085354324869579713
20230110,-0.18389277421650826,-0.012045858973519636,-0.0039884674598560186,0.22543352601156075,-0.0077728787057322786
20230111,-0.054752508249833368,-0.0045209541344959723,-0.004523835357291857,0.22840690978886757,-0.0038382755971451583
20230112,-0.20317726989762538,-0.0043468595167280499,-0.0084539093595948668,0.22840690978886757,-0.011141536587800153
20230113,-0.1965819418461752,0.00077423230239593481,-0.0089485584625342458,0.20970873786407762,-0.009491739337484437
20230116,-0.057392640545005376,-0.0079946504082749181,-0.0055635481947381247,0.21511627906976749,-0.0061527877770116155
20230117,-0.26110411763094271,-0.0035962649301657808,-0.0077572199450030542,0.20467836257309946,-0.010043329552227186
20230118,-0.17397646519852136,-0.0025494924123867194,-0.0076819508366461672,0.19921875,-0.0085508076109915114
20230119,-0.15061701509934636,0.0059312079954011261,-0.0031911249149991659,0.19921875,-0.0045351081304208707
20230120,0.022477962034451852,0.013436311885899404,-0.00033546392498272175,0.17227722772277232,0.0047184364507401842
20230130,-0.10476872061237004,0.00023397606876475935,-0.0037305651214863786,0.23121387283236994,-0.0048368365550353976
20230131,0.020151688778268048,0.016908924733195843,0.0014380972344091754,0.2384615384615385,0.0049411927691758919
20230201,-0.047716575559291347,-0.0027556912286655203,-0.004498383396215333,0.21247563352826515,-0.0028898207690326231
20230202,0.03013896425052548,0.0040251162219336403,0.0050886784983181516,0.22286821705426352,0.0072290916521244248
20230203,-0.1830457248291312,-0.0055608068964760771,-0.0037153654459326311,0.17984189723320154,-0.0070146172188230013
20230206,-0.099623721510819788,0.004756703764432514,-0.0020342968007928787,0.20622568093385218,-0.00074887366637025731
20230207,-0.14641670313558069,-0.0076327218754777409,-0.0027059821867373721,0.20467836257309946,-0.0031153819402263408
20230208,0.020184568161672013,0.011954049249254778,-1.5014581767952215e-05,0.22200772200772201,0.0035048864529031876
20230209,-0.23346800746894722,-0.0068943209973816059,-0.0063508237300710715,0.19569471624266144,-0.010532150665799529
20230210,0.016146764437761755,0.011776964824993838,0.0016103842922531638,0.197265625,0.0059313242807569385
20230213,-0.20361902486398473,-0.0045800710398649237,-0.0055847454145676774,0.20622568093385218,-0.007323595168623318
20230214,0.12198906367600408,0.010903760149513759,0.0089357184680795062,0.22350674373795765,0.014525425207287489
20230215,-0.2455307803999548,-0.027389767252805709,-0.0055688728624791774,0.21317829457364346,-0.013030967729165109
20230216,-0.29903745770007961,-0.017714430161223402,-0.01356685330925602,0.26177024482109224,-0.018916898148437687
20230217,0.021810932412542505,0.016804661585191224,0.0040064464519353402,0.20038910505836571,0.0037689175227927675
20230220,-0.20517794514639043,-0.002022334833708683,-0.0066636541422831225,0.20077972709551661,-0.009587768726561037
20230221,-0.039127831106995317,0.00062864681198140026,-0.00043778768204888018,0.19178082191780821,0.0017107689875732932
20230222,-0.2083387353263457,-0.0080167088631865006,-0.0059166969198067177,0.15000000000000002,-0.0091517560221531444
20230223,-0.083913147574679645,-0.005499945254326415,-0.0030061601518321748,0.15936254980079678,-0.0033548593632691135
20230224,-0.11036397392339022,-0.011486959756505526,-0.0031646109847322176,0.14629258517034072,-0.0051228957195888691
20230227,-0.12203850262484968,0.0084374770703768767,-0.0014299982229897742,0.14056224899598391,-0.0018065926846758274
20230228,-0.0071213564808015996,0.012181050042026065,0.0036778031918426879,0.15568862275449102,0.0058010866582796439
20230301,-0.083144587410460893,-0.0028084208429806027,0.0004747684583134436,0.15600000000000003,-0.0018861983960122386
20230302,-0.24938179691042453,-0.0072245137415754461,-0.0071064243965885581,0.16135458167330674,-0.0098120860135177852
20230303,-0.061079102263193914,-0.0019224369476227429,-0.0021837690057889786,0.13709677419354838,-0.0014702946764458711
20230306,-0.14103183392778476,-0.019981099960399842,-0.00021269695105327266,0.14829659318637278,-0.0031429059042906403
20230307,0.032200845891581946,0.0095605418523096973,0.0011338458500084886,0.14457831325301207,0.0038672167410202726
20230308,-0.11614201160254546,-0.0041227371636013126,-0.0051172587673810124,0.20077972709551661,-0.0052635008588674875
20230309,-0.061284943178772457,-0.016735563364988014,-0.0025660638049497756,0.17786561264822132,-0.0034406785574433562
20230310,0.18892584832894915,0.014160008139295749,0.011486247566753696,0.19019607843137254,0.017252791290291579
20230313,-0.043532590611018974,-0.009452500563489211,0.0034582934158058475,0.19019607843137254,0.0028602271035489853
20230314,-0.31702957380538693,-0.0028536975538165227,-0.0121087236202434,0.19178082191780821,-0.016610963470768115
20230315,-0.081651934749057672,-0.013296336890656915,0.0025569112743075995,0.17391304347826086,-0.00085632715625282019
20230316,0.085914289643426109,0.015429084185345405,0.0081852923259598705,0.2058252427184466,0.011033645610819058
20230317,-0.065260515704362546,-0.0089361327008270416,-0.0049996369869522309,0.18627450980392157,-0.0042912122721623291
20230320,-0.085314558690618145,0.0086748624426754815,-0.0065930068644058128,0.18110236220472442,-0.0036417666964261922
20230321,-0.032926059800612063,0.0086530137300497162,0.002576094831484306,0.1633466135458167,0.0041292654946338296
20230322,0.053624563457171003,0.0049523053512788608,0.0048257490790108914,0.20622568093385218,0.0062365986438652514
